feature	logFC	AveExpr	t	P.Value	adj.P.Val	B	name	name_lipid1	name_lipid3	identity	abbreviation	composition	pre_fatty_acid_length	n_doub_bonds	definition	m_z	rt	main_fat_acd_length_num	main_fat_acd_length_fct	definition2
PE 34:2; PE 16:0 18:2_715.51399_8.13	-0.25343233764502165	14.116453411585006	-1.3918355243458644	0.19017230091993217	0.3625159486286207	-5.754703073931776	PE 34:2; PE 16:0 18:2	PE 34:2	PE 34:2	PE 34:2	PE	34:2	34	2	PE	715.51399	8.13	34	34	PE 34:2
LPI 20:4_620.29521_2.16	0.26220119886671533	12.142818966632419	1.4024827225148986	0.18705167415138949	0.35897107803435196	-5.755179625405666	LPI 20:4	LPI 20:4	LPI 20:4	LPI 20:4	LPI	20:4	20	4	LPI	620.29521	2.16	20	20	LPI 20:4
NA_954.54234_7.46	-0.16421829695802376	14.05934627707634	-1.3248127400083625	0.2108255675415434	0.38147500064207573	-5.7560604620320035	NA	NA	NA	NA	NA	NA	NA	NA	NA	954.54234	7.46	NA	NA	NA
LPG 20:4_532.27991_2.2	0.45295202860990325	10.904831179936803	1.4082914308412298	0.18536731721691918	0.35694180136020065	-5.759810812995387	LPG 20:4	LPG 20:4	LPG 20:4	LPG 20:4	LPG	20:4	20	4	LPG	532.27991	2.2	20	20	LPG 20:4
NA_406.29686_4.95	0.3087776196411822	10.494008393435227	1.3874954599629674	0.1914567574858304	0.36374654258709493	-5.761032747385052	NA	NA	NA	NA	NA	NA	NA	NA	NA	406.29686	4.95	NA	NA	NA
LPC 20:5-SN1_541.3164_2.33	0.8557490690671363	10.465085675041934	1.4087920412653259	0.18522275138443328	0.35694180136020065	-5.762044306937311	LPC 20:5-SN1	LPC 20:5	LPC 20:5	LPC 20:5-SN1	LPC	20:5-SN1	20	5-SN1	LPC	541.3164	2.33	20	20	LPC 20:5-SN1
NA_495.48723_3.4	0.19475545682672168	14.113640864341685	1.3580550402107854	0.20036169581515434	0.3721802369192084	-5.762546442694315	NA	NA	NA	NA	NA	NA	NA	NA	NA	495.48723	3.4	NA	NA	NA
PC 18:0 20:4_809.59334_8.94	0.26844591832106846	17.443869763426708	1.4002119591911937	0.18771360341699134	0.35943367111683994	-5.762725345787924	PC 18:0 20:4	PC 18:0 20:4	PC 18:0 20:4	PC 18:0 20:4	PC	18:0 20:4	18	0 20	PC	809.59334	8.94	18	18	PC 18:0 20:4
NA_283.28723_3.68	0.18600385422608942	11.223567781683476	1.3408758465862418	0.20571451239301364	0.3765920548416584	-5.770920773884445	NA	NA	NA	NA	NA	NA	NA	NA	NA	283.28723	3.68	NA	NA	NA
PI 36:5; PI 16:0 20:5_856.5072_6.57	0.5926263009329448	12.652362646307983	1.398894796466685	0.18809845440996492	0.35976725658703257	-5.771264397916398	PI 36:5; PI 16:0 20:5	PI 36:5	PI 36:5	PI 36:5	PI	36:5	36	5	PI	856.5072	6.57	36	36	PI 36:5
NA_670.49563_7.18	0.38057283057991226	10.924753173238392	1.3588321234416214	0.20012231388198742	0.3721802369192084	-5.781790067953327	NA	NA	NA	NA	NA	NA	NA	NA	NA	670.49563	7.18	NA	NA	NA
PG 34:1; PG 16:0 18:1_748.52402_7.81	-0.21524455527968733	14.74338184695665	-1.388309737761449	0.19121521942382905	0.363692199082294	-5.783709101245388	PG 34:1; PG 16:0 18:1	PG 34:1	PG 34:1	PG 34:1	PG	34:1	34	1	PG	748.52402	7.81	34	34	PG 34:1
NA_910.4733_6.12	0.3796509846005494	12.156551522854409	1.3625955727519845	0.19896632285133511	0.3705937616467616	-5.784838182761256	NA	NA	NA	NA	NA	NA	NA	NA	NA	910.4733	6.12	NA	NA	NA
PE O-40:6; PE O-18:1 22:5_777.56636_9.86	0.23360598226043267	13.594345284815825	1.3824757710925224	0.19295136262471851	0.3645585479679416	-5.7849345211746765	PE O-40:6; PE O-18:1 22:5	PE 40:6; PE 18:1 22:5	PE 40:6; PE 18:1 22:5	PE O-40:6	PE	O-40:6	40	6	PE	777.56636	9.86	40	40	PE O-40:6
PE O-36:2; PE O-18:1 18:1_729.56794_10.73	0.3654610082496982	15.647577689106093	1.3975913245890124	0.18847995441639095	0.36009369367247845	-5.785020760987899	PE O-36:2; PE O-18:1 18:1	PE 36:2; PE 18:1 18:1	PE 36:2; PE 18:1 18:1	PE O-36:2	PE	O-36:2	36	2	PE	729.56794	10.73	36	36	PE O-36:2
NA_586.26156_2.75	0.3488154767153999	10.949313181844142	1.3855701294527432	0.19202887733093485	0.363943344634402	-5.78692125206589	NA	NA	NA	NA	NA	NA	NA	NA	NA	586.26156	2.75	NA	NA	NA
NA_801.58699_6.93	0.621793142680718	12.84983497501701	1.3436214216946327	0.20485119522381526	0.37648492278241047	-5.787994258183121	NA	NA	NA	NA	NA	NA	NA	NA	NA	801.58699	6.93	NA	NA	NA
NA_548.47966_23.64	-0.3167553565249161	13.586790342171637	-1.3804823277804246	0.19354759681942252	0.36520713225150786	-5.790491789041461	NA	NA	NA	NA	NA	NA	NA	NA	NA	548.47966	23.64	NA	NA	NA
